Unnamed: 0,Title,ID,cleaned_text
0,Owen Wilson reportedly turned down $12 million to be in a movie that depicted OJ Simpson as innocent,1ccc2lx,owen wilson reportedly turned million movie depicted oj simpson innocent
1,Emma Stone Reveals She 'Would Like to Be' Called by Her Real Name: 'That Would Be So Nice',1cd4cbc,emma stone reveals would like called real name would nice
2,Megan Thee Stallion accused of harassment by cameraman who said he was forced to watch her have sex,1cb8vw8,megan thee stallion accused harassment cameraman said forced watch sex
3,Doja Cat scolds parents who bring kids to her shows: ‘I’m rapping about c---’,1cdulcp,doja cat scold parent bring kid show im rapping c
4,Jimmy Kimmel thanks hospital staff and supporters on son's birthday: 'This boy is 7 years old because of you’,1caqh4j,jimmy kimmel thanks hospital staff supporter son birthday boy year old
5,Kim Kardashian loses more than 100K followers after Taylor Swift’s ‘TTPD’ diss track,1cb14m4,kim kardashian loses k follower taylor swift ttpd dis track
6,Alec Baldwin Slaps Cell Phone of Heckler Asking Him ‘Why Did You Kill That Lady’,1cb4o51,alec baldwin slap cell phone heckler asking kill lady
7,"Eminem Celebrates 16 Years of Sobriety, Shows Off His New Chip",1cac38k,eminem celebrates year sobriety show new chip
8,Ben Stiller Calls 'Zoolander 2' Failure 'Blindsiding': 'It Affected Me for a Long Time' (Exclusive),1cb5pc5,ben stiller call zoolander failure blindsiding affected long time exclusive
9,Aaron Sorkin Writing a Potential ‘Social Network’ Sequel: “I Blame Facebook for Jan. 6”,1cdobqh,aaron sorkin writing potential social network sequel blame facebook jan
10,"Ryan Gosling: ‘Angry Birds’ Box Office Success ‘Destroyed’ Chances of ‘The Nice Guys’ Sequel. “So much of a sequel, I think, is decided by the opening weekend of a movie,” the actor said of the 2016 dark comedy",1cby844,ryan gosling angry bird box office success destroyed chance nice guy sequel much sequel think decided opening weekend movie actor said dark comedy
11,Ashley Judd Slams 'Institutional Betrayal' After Harvey Weinstein's Rape Conviction Is Overturned,1cdotww,ashley judd slam institutional betrayal harvey weinsteins rape conviction overturned
12,John Legend Calls 'Fraudster' Donald Trump a 'Tried and True Racist': 'He's Been Lying for a Long Time',1cae0ru,john legend call fraudster donald trump tried true racist he lying long time
13,Colin Jost to Roast President Joe Biden and More Politicians at the White House Correspondents Dinner,1cesa9g,colin jost roast president joe biden politician white house correspondent dinner
14,"Travis Scott Must Face Jury Trial In Astroworld Lawsuits, Judge Says",1cdaqfg,travis scott must face jury trial astroworld lawsuit judge say
